manufacturer,category,fuel_type,engine_volume,mileage,price
HYUNDAI,Jeep,Petrol,2.0,36800,36065
TOYOTA,Sedan,Petrol,2.5,107000,15053
NISSAN,Jeep,Petrol,1.6,108222,7527
BMW,Jeep,Diesel,3.0,18000,15681
MERCEDES-BENZ,Hatchback,Petrol,1.7,160000,13485
VOLKSWAGEN,Sedan,Petrol,2.5,180000,18503
HYUNDAI,Minivan,Diesel,2.5,120309,30583
CHEVROLET,Jeep,Diesel,2.0,258076,14294
TOYOTA,Hatchback,Hybrid,1.5,0,10976
FORD,Microbus,Diesel,2.0,120000,30420
HYUNDAI,Sedan,Petrol,2.0,70000,26657
MERCEDES-BENZ,Jeep,Petrol,3.5,49425,50805
TOYOTA,Hatchback,Hybrid,1.8,101357,8781
FORD,Sedan,Hybrid,2.5,180973,12544
HYUNDAI,Jeep,Diesel,2.0,151144,25591
BMW,Coupe,Petrol,2.0,1000,5488
MERCEDES-BENZ,Sedan,Diesel,3.5,248525,18189
HYUNDAI,Minivan,Diesel,2.5,151780,28357
FORD,Goods wagon,Diesel,2.5,228000,9408
HYUNDAI,Hatchback,Petrol,1.6,31000,19757
HYUNDAI,Jeep,Diesel,2.0,89461,31248
VOLKSWAGEN,Sedan,Petrol,2.5,134400,13485
HYUNDAI,Sedan,Petrol,1.6,128980,14454
VOLKSWAGEN,Sedan,Petrol,1.4,96000,18817
TOYOTA,Sedan,Hybrid,2.5,190549,5018
HYUNDAI,Sedan,Petrol,1.6,165845,18531
CHEVROLET,Sedan,Petrol,1.8,125874,13877
TOYOTA,Hatchback,Hybrid,1.5,163312,7919
HYUNDAI,Universal,Diesel,2.5,71689,46919
BMW,Jeep,Diesel,3.0,98726,14269
HONDA,Sedan,Petrol,2.0,17741,56509
HYUNDAI,Sedan,Petrol,2.0,109591,13956
HYUNDAI,Sedan,Petrol,1.8,88600,18033
HYUNDAI,Sedan,Petrol,1.8,87646,12388
HONDA,Coupe,Petrol,1.5,19217,73131
MERCEDES-BENZ,Sedan,Petrol,1.8,212485,40769
BMW,Sedan,Petrol,3.0,190000,15681
TOYOTA,Hatchback,Hybrid,1.5,222061,10036
TOYOTA,Jeep,Diesel,3.0,59826,131716
HYUNDAI,Sedan,Petrol,2.0,77130,49751
TOYOTA,Sedan,Hybrid,1.8,190000,8467
MERCEDES-BENZ,Sedan,Diesel,2.2,24500,21326
HONDA,Hatchback,Petrol,1.5,78000,25638
TOYOTA,Sedan,Petrol,4.0,0,6586
HYUNDAI,Jeep,Diesel,2.0,71101,20698
LEXUS,Jeep,Petrol,3.5,90680,47042
TOYOTA,Minivan,CNG,1.8,27000,9095
TOYOTA,Hatchback,Hybrid,1.5,204839,8311
HYUNDAI,Sedan,Petrol,1.6,78633,19121
BMW,Sedan,Petrol,1.6,23000,9408
HYUNDAI,Hatchback,Petrol,1.6,188244,14454
LEXUS,Jeep,Petrol,4.6,357246,40142
MERCEDES-BENZ,Sedan,Diesel,3.5,189530,12388
MERCEDES-BENZ,Jeep,CNG,3.7,235200,13485
HONDA,Hatchback,Petrol,1.3,169300,6272
TOYOTA,Jeep,Petrol,2.5,68000,37633
BMW,Jeep,Plug-in Hybrid,2.0,58000,94083
AUDI,Coupe,Diesel,2.0,260000,9722
HYUNDAI,Minivan,Diesel,2.5,77850,37799
LEXUS,Jeep,Petrol,4.6,229334,52059
BMW,Jeep,Diesel,3.0,262072,6429
FORD,Goods wagon,Diesel,2.2,272000,20695
MERCEDES-BENZ,Hatchback,Diesel,1.7,165000,8467
MERCEDES-BENZ,Sedan,Petrol,2.6,20017,9722
HYUNDAI,Sedan,Petrol,1.6,72000,10117
TOYOTA,Sedan,Petrol,2.5,101000,21012
TOYOTA,Sedan,Petrol,2.5,149000,11604
TOYOTA,Hatchback,Hybrid,1.3,80000,9408
TOYOTA,Sedan,Hybrid,2.5,152000,17249
TOYOTA,Sedan,Hybrid,2.5,179381,11133
TOYOTA,Sedan,Petrol,2.5,75000,19130
MERCEDES-BENZ,Goods wagon,Diesel,2.2,282000,17249
CHEVROLET,Sedan,Petrol,2.4,96973,12544
LEXUS,Hatchback,Hybrid,1.8,96000,31361
HYUNDAI,Sedan,LPG,2.0,402881,11604
TOYOTA,Sedan,Hybrid,2.5,131400,14583
HYUNDAI,Jeep,Diesel,2.0,195933,46991
HYUNDAI,Hatchback,Petrol,1.6,129000,10976
LEXUS,Jeep,Hybrid,3.5,143619,13956
HYUNDAI,Sedan,LPG,2.0,42000,9565
HYUNDAI,Jeep,Diesel,2.0,143278,30151
NISSAN,Jeep,LPG,4.0,16000,22894
HYUNDAI,Sedan,Hybrid,2.4,88400,18189
BMW,Jeep,Diesel,3.5,243087,43435
HYUNDAI,Sedan,LPG,2.0,71466,11262
TOYOTA,Hatchback,Hybrid,1.8,182860,13799
MERCEDES-BENZ,Sedan,Petrol,3.5,16000,30734
NISSAN,Sedan,CNG,2.0,107342,6899
VOLKSWAGEN,Sedan,Petrol,2.0,103000,15681
HYUNDAI,Jeep,Diesel,2.0,165003,23994
HYUNDAI,Sedan,Petrol,2.0,43000,48547
MERCEDES-BENZ,Jeep,Petrol,2.0,109555,8311
TOYOTA,Hatchback,Hybrid,1.8,167219,13485
LEXUS,Sedan,Hybrid,2.5,77000,46101
MERCEDES-BENZ,Microbus,Diesel,2.2,210000,29166
HYUNDAI,Sedan,Diesel,1.6,90000,27356
HYUNDAI,Sedan,Petrol,2.0,51106,73620
HYUNDAI,Jeep,Diesel,2.0,153000,43216
HYUNDAI,Sedan,Petrol,2.0,63750,49431
MERCEDES-BENZ,Sedan,Diesel,2.1,58864,22894
BMW,Sedan,Petrol,2.0,58173,23521
VOLKSWAGEN,Sedan,Petrol,2.5,122400,10036
LEXUS,Sedan,Petrol,3.5,259066,8154
TOYOTA,Sedan,Hybrid,3.5,368064,21639
MERCEDES-BENZ,Jeep,Petrol,3.0,66000,89379
HYUNDAI,Jeep,Diesel,2.0,78121,53420
AUDI,Coupe,Petrol,3.2,100000,24462
HONDA,Minivan,Petrol,1.7,0,6899
BMW,Cabriolet,Petrol,2.0,52131,20071
HONDA,Sedan,Hybrid,1.3,0,8154
MERCEDES-BENZ,Sedan,Diesel,3.0,273186,9879
TOYOTA,Sedan,Hybrid,1.8,60000,18817
TOYOTA,Jeep,Hybrid,3.3,251278,7997
HONDA,Hatchback,Petrol,1.3,188000,8781
MERCEDES-BENZ,Jeep,Diesel,2.5,65000,62722
TOYOTA,Hatchback,Petrol,1.5,210000,5488
MERCEDES-BENZ,Jeep,Petrol,3.5,0,62722
FORD,Goods wagon,Diesel,1.8,143560,13799
MERCEDES-BENZ,Sedan,CNG,3.2,136000,20385
NISSAN,Jeep,Diesel,2.8,333333,18817
TOYOTA,Sedan,Petrol,2.5,117526,26657
BMW,Jeep,Diesel,3.0,274098,7213
CHEVROLET,Sedan,Petrol,1.6,94201,5341
FORD,Sedan,Petrol,2.0,72407,39499
TOYOTA,Sedan,Petrol,2.5,104686,18817
TOYOTA,Sedan,Petrol,2.5,24382,42808
HONDA,Jeep,Petrol,2.4,107000,24775
HONDA,Hatchback,Hybrid,1.3,180000,8624
TOYOTA,Hatchback,Hybrid,1.5,2000,15994
HYUNDAI,Sedan,LPG,2.0,75346,10641
MERCEDES-BENZ,Sedan,Diesel,3.5,200179,30734
TOYOTA,Hatchback,Hybrid,1.5,115000,14113
MERCEDES-BENZ,Jeep,Petrol,4.6,88000,37633
NISSAN,Hatchback,Petrol,1.2,0,5331
TOYOTA,Jeep,Hybrid,2.5,2000,52373
TOYOTA,Minivan,Petrol,2.0,186000,11290
HYUNDAI,Jeep,Diesel,2.0,166401,21953
TOYOTA,Hatchback,Hybrid,1.5,144000,9252
NISSAN,Minivan,CNG,3.5,45000,34497
HYUNDAI,Jeep,Diesel,2.0,133554,46236
HYUNDAI,Sedan,Petrol,1.6,153600,17562
TOYOTA,Hatchback,Hybrid,1.5,60800,20071
TOYOTA,Minivan,Petrol,2.4,200000,9408
HYUNDAI,Sedan,Petrol,2.0,104727,13366
TOYOTA,Jeep,Petrol,2.0,78424,5488
NISSAN,Jeep,Petrol,2.5,57000,12544
HYUNDAI,Jeep,Diesel,2.0,163472,40983
HYUNDAI,Sedan,Petrol,2.0,31381,15367
HONDA,Universal,Hybrid,1.3,193895,5225
AUDI,Jeep,Diesel,3.0,190000,43000
HYUNDAI,Minivan,Diesel,2.5,85933,36068
MERCEDES-BENZ,Minivan,LPG,3.2,220000,17562
VOLKSWAGEN,Sedan,CNG,1.8,0,6899
HYUNDAI,Sedan,LPG,2.0,235285,12720
HYUNDAI,Sedan,Petrol,1.6,103149,15132
BMW,Jeep,Diesel,2.0,153000,43902
TOYOTA,Sedan,Petrol,1.8,187200,18033
TOYOTA,Jeep,Petrol,2.5,29333,7997
HYUNDAI,Minivan,Diesel,2.2,17632,98066
HYUNDAI,Hatchback,Petrol,1.6,17200,21639
FORD,Microbus,Diesel,2.4,168000,17249
LEXUS,Jeep,Petrol,4.6,357246,40142
HYUNDAI,Sedan,Petrol,2.0,127347,14959
FORD,Microbus,Diesel,2.4,240000,20385
HONDA,Hatchback,Petrol,1.3,49000,23659
NISSAN,Jeep,Petrol,2.0,196000,9408
VOLKSWAGEN,Sedan,Petrol,1.8,67000,14426
HYUNDAI,Jeep,Diesel,1.7,129800,36733
HONDA,Hatchback,LPG,1.7,150000,8467
FORD,Sedan,Petrol,1.5,100000,19444
TOYOTA,Sedan,Petrol,1.8,196010,5175
HYUNDAI,Jeep,Diesel,2.0,229398,19008
HONDA,Hatchback,Hybrid,1.5,58000,13328
TOYOTA,Sedan,Hybrid,1.8,176000,18503
HYUNDAI,Sedan,LPG,2.0,404507,10036
BMW,Jeep,Diesel,3.0,300000,17249
TOYOTA,Sedan,Hybrid,1.5,145000,13799
VOLKSWAGEN,Sedan,Petrol,1.8,39000,21953
TOYOTA,Hatchback,Petrol,2.4,273094,16621
HYUNDAI,Sedan,Petrol,2.4,113824,11917
HYUNDAI,Jeep,Diesel,2.0,150415,41632
NISSAN,Coupe,Petrol,3.7,80698,11133
BMW,Sedan,Petrol,3.0,190000,16621
LEXUS,Jeep,Hybrid,3.5,186005,13328
HYUNDAI,Sedan,Petrol,2.0,34900,54167
TOYOTA,Sedan,Petrol,1.5,20549,21012
MERCEDES-BENZ,Jeep,Diesel,2.9,138000,15681
CHEVROLET,Sedan,Petrol,1.6,154148,13626
LEXUS,Jeep,Hybrid,3.5,66575,65858
HONDA,Hatchback,Hybrid,1.3,14590,9095
TOYOTA,Sedan,Hybrid,2.5,109798,5488
HYUNDAI,Universal,Diesel,2.5,245603,30326
HONDA,Sedan,Petrol,2.0,44914,44611
TOYOTA,Sedan,Petrol,2.5,51202,26657
FORD,Sedan,Hybrid,2.5,256000,8938
MERCEDES-BENZ,Minivan,Diesel,2.2,187000,38574
HYUNDAI,Sedan,Petrol,1.6,151382,11368
HYUNDAI,Sedan,LPG,1.6,29864,18503
MERCEDES-BENZ,Jeep,Petrol,3.5,256000,18817
MERCEDES-BENZ,Sedan,Diesel,3.5,219030,29793
FORD,Sedan,Petrol,3.5,42187,104216
HYUNDAI,Hatchback,Petrol,1.8,75000,11227
HYUNDAI,Sedan,Petrol,1.6,76462,19707
TOYOTA,Sedan,Hybrid,2.5,195994,30734
HYUNDAI,Hatchback,Diesel,1.6,122000,19444
TOYOTA,Pickup,Diesel,3.0,104000,50178
HONDA,Jeep,CNG,2.0,187000,9095
LEXUS,Jeep,Hybrid,3.5,91000,40766
HYUNDAI,Sedan,Petrol,2.0,172253,16894
HYUNDAI,Jeep,Diesel,2.0,142264,22063
HONDA,Sedan,Petrol,1.5,14542,65817
TOYOTA,Sedan,Hybrid,1.8,400000,9722
MERCEDES-BENZ,Microbus,Diesel,2.2,225000,85702
TOYOTA,Hatchback,Petrol,1.5,67986,21040
HYUNDAI,Sedan,LPG,2.0,301827,15530
MERCEDES-BENZ,Universal,Petrol,1.7,117000,9500
HYUNDAI,Sedan,LPG,2.0,410137,13172
MERCEDES-BENZ,Sedan,Diesel,3.0,220000,21953
CHEVROLET,Sedan,Diesel,2.0,211514,13150
HYUNDAI,Universal,Diesel,2.5,100900,38016
CHEVROLET,Coupe,Petrol,6.2,111274,9722
HYUNDAI,Minivan,Diesel,2.5,120309,30583
NISSAN,Hatchback,Petrol,1.5,230000,7213
CHEVROLET,Sedan,Petrol,2.0,106642,34419
HYUNDAI,Jeep,Diesel,2.0,113588,42052
FORD,Goods wagon,Diesel,1.8,208000,12231
TOYOTA,Jeep,Hybrid,3.3,420550,12074
FORD,Coupe,Petrol,5.0,15305,137885
MERCEDES-BENZ,Coupe,Petrol,3.5,162000,18817
MERCEDES-BENZ,Sedan,CNG,2.0,19000,9408
NISSAN,Goods wagon,Petrol,2.5,0,5959
TOYOTA,Hatchback,Hybrid,1.5,199840,11290
NISSAN,Hatchback,Petrol,1.2,0,7500
TOYOTA,Pickup,Petrol,2.0,123000,7527
FORD,Goods wagon,Diesel,2.5,270000,11290
TOYOTA,Minivan,LPG,2.4,177000,14113
HYUNDAI,Sedan,Petrol,2.4,68728,17249
TOYOTA,Sedan,Petrol,1.5,0,9408
TOYOTA,Hatchback,Hybrid,1.8,190000,15681
HONDA,Hatchback,Hybrid,1.3,121000,11917
HYUNDAI,Sedan,Petrol,2.4,67840,23207
LEXUS,Hatchback,Hybrid,1.8,122302,6586
TOYOTA,Sedan,Petrol,2.5,193280,27598
HYUNDAI,Coupe,Petrol,2.0,93000,38737
TOYOTA,Hatchback,Hybrid,1.8,102000,11917
BMW,Jeep,Diesel,3.5,267632,39201
TOYOTA,Hatchback,Petrol,1.0,135000,9700
HONDA,Hatchback,Hybrid,1.3,140000,14113
HYUNDAI,Coupe,Petrol,2.0,153651,19369
TOYOTA,Sedan,Hybrid,3.5,368064,21639
HYUNDAI,Sedan,Petrol,1.6,158000,18798
HYUNDAI,Hatchback,Petrol,2.0,51950,14740
BMW,Sedan,CNG,2.5,212000,7213
HYUNDAI,Sedan,Petrol,2.0,60800,14426
BMW,Universal,LPG,2.0,0,7840
BMW,Sedan,Petrol,2.0,120162,36065
MERCEDES-BENZ,Sedan,Diesel,3.5,64496,13642
NISSAN,Jeep,Diesel,3.0,320000,26657
FORD,Sedan,Hybrid,2.0,173000,15053
CHEVROLET,Sedan,Petrol,1.4,104000,14113
TOYOTA,Sedan,Hybrid,2.5,73646,13328
HYUNDAI,Coupe,Petrol,2.0,100000,16088
MERCEDES-BENZ,Sedan,Diesel,3.0,273186,9879
VOLKSWAGEN,Sedan,Petrol,2.5,96000,16308
TOYOTA,Jeep,Petrol,2.0,23400,43905
BMW,Cabriolet,Petrol,3.0,59700,30734
TOYOTA,Hatchback,Hybrid,1.8,323733,8938
HYUNDAI,Hatchback,Petrol,1.6,77000,24462
HYUNDAI,Minivan,Diesel,2.5,208284,31414
MERCEDES-BENZ,Coupe,Diesel,3.5,170429,15994
TOYOTA,Sedan,Hybrid,1.5,17000,12231
TOYOTA,Sedan,Hybrid,1.8,231003,12388
HYUNDAI,Jeep,Diesel,2.0,151995,24543
CHEVROLET,Hatchback,Hybrid,1.4,112123,6586
MERCEDES-BENZ,Sedan,Diesel,2.8,284500,21639
HYUNDAI,Sedan,Petrol,2.0,163374,15257
HYUNDAI,Sedan,Petrol,2.4,77000,17249
MERCEDES-BENZ,Sedan,CNG,5.0,315000,7840
MERCEDES-BENZ,Sedan,Diesel,2.2,299000,11604
HYUNDAI,Minivan,Diesel,2.5,126970,34074
TOYOTA,Sedan,Petrol,1.5,200000,12544
LEXUS,Jeep,Petrol,3.5,114382,47120
HYUNDAI,Sedan,LPG,2.0,317106,15681
CHEVROLET,Coupe,Petrol,3.6,134400,29793
CHEVROLET,Sedan,Petrol,1.4,88000,19444
TOYOTA,Sedan,Petrol,1.8,193000,16308
TOYOTA,Sedan,Petrol,1.8,37878,10036
HONDA,Sedan,Hybrid,1.3,144000,13799
CHEVROLET,Sedan,Petrol,1.8,121831,12717
TOYOTA,Hatchback,Hybrid,1.5,172100,12074
HYUNDAI,Sedan,Petrol,2.0,157367,17186
VOLKSWAGEN,Sedan,Petrol,1.8,89000,11917
HYUNDAI,Sedan,Petrol,1.6,41279,16778
MERCEDES-BENZ,Microbus,Diesel,2.7,333333,22894
