name,sex,age,height,weight,team,noc,sport,event,medal
"Voldimars ""Valdemar"" Bandolowski",M,30,184.0,82.0,Denmark,DEN,Sailing,Sailing Mixed Three Person Keelboat,1st
Verner Blaudzun,M,30,173.0,68.0,Denmark,DEN,Cycling,Cycling Men's 100 kilometres Team Time Trial,3rd
Niels Christian Fredborg,M,29,176.0,75.0,Denmark,DEN,Cycling,"Cycling Men's 1,000 metres Time Trial",3rd
Enith Sijtje Maria Brigitha (-Salle),F,21,174.0,67.0,Netherlands,NED,Swimming,Swimming Women's 100 metres Freestyle,3rd
Enith Sijtje Maria Brigitha (-Salle),F,21,174.0,67.0,Netherlands,NED,Swimming,Swimming Women's 200 metres Freestyle,3rd
"Anton Gerrit Jan ""Ton"" Buunk",M,23,196.0,91.0,Netherlands,NED,Water Polo,Water Polo Men's Water Polo,3rd
Herman Ponsteen,M,23,181.0,86.0,Netherlands,NED,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",2nd
"Henricus Adrianus Joseph ""Eric"" Swinkels",M,27,185.0,83.0,Netherlands,NED,Shooting,Shooting Mixed Skeet,2nd
"Michel Taylor ""Tate"" Armstrong",M,20,190.0,77.0,United States,USA,Basketball,Basketball Men's Basketball,1st
"Jack Babashoff, Jr.",M,21,191.0,84.0,United States,USA,Swimming,Swimming Men's 100 metres Freestyle,2nd
"Jack Babashoff, Jr.",M,21,191.0,84.0,United States,USA,Swimming,Swimming Men's 4 x 100 metres Medley Relay,1st
Shirley Frances Babashoff,F,19,178.0,67.0,United States,USA,Swimming,Swimming Women's 200 metres Freestyle,2nd
Shirley Frances Babashoff,F,19,178.0,67.0,United States,USA,Swimming,Swimming Women's 400 metres Freestyle,2nd
Shirley Frances Babashoff,F,19,178.0,67.0,United States,USA,Swimming,Swimming Women's 800 metres Freestyle,2nd
Shirley Frances Babashoff,F,19,178.0,67.0,United States,USA,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,1st
Shirley Frances Babashoff,F,19,178.0,67.0,United States,USA,Swimming,Swimming Women's 4 x 100 metres Medley Relay,2nd
Lanny Robert Bassham,M,29,175.0,73.0,United States,USA,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",1st
"Philip George ""Phil"" Boggs",M,26,165.0,59.0,United States,USA,Diving,Diving Men's Springboard,1st
Wendy Lou Lansbach Boglioli,F,21,180.0,64.0,United States,USA,Swimming,Swimming Women's 100 metres Butterfly,3rd
"Joseph Stuart ""Joe"" Bottom",M,21,194.0,87.0,United States,USA,Swimming,Swimming Men's 100 metres Butterfly,2nd
"Cynthia Jane ""Cindy"" Brogdon",F,19,177.0,70.0,United States,USA,Basketball,Basketball Women's Basketball,2nd
"Benjamin Gene ""Benny"" Brown",M,22,180.0,74.0,United States,USA,Athletics,Athletics Men's 4 x 400 metres Relay,1st
Carol Page Brown,F,23,172.0,67.0,United States,USA,Rowing,Rowing Women's Coxed Eights,3rd
"Michael Lee ""Mike"" Bruner",M,19,179.0,73.0,United States,USA,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,1st
"Michael Lee ""Mike"" Bruner",M,19,179.0,73.0,United States,USA,Swimming,Swimming Men's 200 metres Butterfly,1st
Rosalyn Evette Bryant (-Clark),F,20,165.0,57.0,United States,USA,Athletics,Athletics Women's 4 x 400 metres Relay,2nd
James Aaron Butts,M,26,188.0,82.0,United States,USA,Athletics,Athletics Men's Triple Jump,2nd
Jennifer Kay Bellamy Chandler,F,17,168.0,52.0,United States,USA,Diving,Diving Women's Springboard,1st
Allen James Coage,M,32,188.0,114.0,United States,USA,Judo,Judo Men's Heavyweight,3rd
Calvin Thomas Coffey,M,25,188.0,91.0,United States,USA,Rowing,Rowing Men's Coxless Pairs,2nd
"Edmund Sloane ""Tad"" Coffin",M,21,180.0,66.0,United States,USA,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",1st
"Edmund Sloane ""Tad"" Coffin",M,21,180.0,66.0,United States,USA,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",1st
"Richard Phillip ""Rick"" Colella, Jr.",M,24,186.0,82.0,United States,USA,Swimming,Swimming Men's 200 metres Breaststroke,3rd
Dennis Walter Conner,M,33,186.0,89.0,United States,USA,Sailing,Sailing Mixed Two Person Keelboat,3rd
"Wilbur D. ""Willie"" Davenport",M,33,186.0,84.0,United States,USA,Athletics,Athletics Men's 110 metres Hurdles,3rd
"Eugene Lee ""Gene"" Davis",M,30,168.0,61.0,United States,USA,Wrestling,"Wrestling Men's Featherweight, Freestyle",3rd
"Howard Edward Davis, Jr.",M,20,178.0,60.0,United States,USA,Boxing,Boxing Men's Lightweight,1st
"Stanley Joseph ""Stan"" Dziedzic, Jr.",M,27,178.0,74.0,United States,USA,Wrestling,"Wrestling Men's Welterweight, Freestyle",3rd
Dwayne Eugene Evans,M,17,183.0,66.0,United States,USA,Athletics,Athletics Men's 200 metres,3rd
"William Ronald ""Bill"" Forrester, Jr.",M,18,180.0,79.0,United States,USA,Swimming,Swimming Men's 200 metres Butterfly,3rd
Herman Ronald Frazier,M,21,184.0,73.0,United States,USA,Athletics,Athletics Men's 400 metres,3rd
Bruce MacFarlane Furniss,M,19,183.0,73.0,United States,USA,Swimming,Swimming Men's 200 metres Freestyle,1st
Harvey Edward Glance,M,19,173.0,67.0,United States,USA,Athletics,Athletics Men's 4 x 100 metres Relay,1st
"Walter Merrill Glasgow, Jr.",M,19,183.0,80.0,United States,USA,Sailing,Sailing Mixed Three Person Keelboat,2nd
Brian Stuart Goodell,M,17,173.0,67.0,United States,USA,Swimming,Swimming Men's 400 metres Freestyle,1st
Brian Stuart Goodell,M,17,173.0,67.0,United States,USA,Swimming,"Swimming Men's 1,500 metres Freestyle",1st
"Steven Garrett ""Steve"" Gregg",M,20,193.0,84.0,United States,USA,Swimming,Swimming Men's 200 metres Butterfly,2nd
Hilda Carolyn Gurney,F,32,168.0,63.0,United States,USA,Equestrianism,"Equestrianism Mixed Dressage, Team",3rd
"Robert William ""Bobby"" Hackett, Jr.",M,16,188.0,83.0,United States,USA,Swimming,"Swimming Men's 1,500 metres Freestyle",2nd
"Donald Stanley ""Don"" Haldeman",M,29,186.0,93.0,United States,USA,Shooting,Shooting Mixed Trap,1st
"Gary Wayne Hall, Sr.",M,24,186.0,74.0,United States,USA,Swimming,Swimming Men's 100 metres Butterfly,3rd
"Millard Frank Hampton, Jr.",M,20,180.0,75.0,United States,USA,Athletics,Athletics Men's 200 metres,2nd
"Daniel Lee ""Dan"" Harrigan",M,20,182.0,77.0,United States,USA,Swimming,Swimming Men's 200 metres Backstroke,3rd
"Russell Owen ""Russ"" Hellickson",M,28,180.0,95.0,United States,USA,Wrestling,"Wrestling Men's Heavyweight, Freestyle",2nd
John Frederick Hencken,M,22,183.0,77.0,United States,USA,Swimming,Swimming Men's 100 metres Breaststroke,1st
John Frederick Hencken,M,22,183.0,77.0,United States,USA,Swimming,Swimming Men's 200 metres Breaststroke,2nd
"Lee Roy James, Jr.",M,22,173.0,90.0,United States,USA,Weightlifting,Weightlifting Men's Middle-Heavyweight,2nd
William Bruce (-Caitlyn Marie) Jenner,M,26,188.0,88.0,United States,USA,Athletics,Athletics Men's Decathlon,1st
"Lloyd Weldon ""Butch"" Keaser",M,26,170.0,68.0,United States,USA,Wrestling,"Wrestling Men's Lightweight, Freestyle",2nd
Peter Martin Kormann,M,21,170.0,58.0,United States,USA,Gymnastics,Gymnastics Men's Floor Exercise,3rd
"Ray Charles ""Sugar Ray"" Leonard",M,20,178.0,62.0,United States,USA,Boxing,Boxing Men's Light-Welterweight,1st
Joan Louise Lind (-Van Blom),F,23,175.0,68.0,United States,USA,Rowing,Rowing Women's Single Sculls,2nd
"Gregory Efthimios ""Greg"" Louganis",M,16,175.0,73.0,United States,USA,Diving,Diving Men's Platform,2nd
David Rockwell McFaull,M,27,178.0,64.0,United States,USA,Sailing,Sailing Mixed Multihull,2nd
"Alexander Timothy ""Tim"" McKee",M,23,173.0,70.0,United States,USA,Swimming,Swimming Men's 400 metres Individual Medley,2nd
Kathy Laverne McMillan (-Ray),F,18,170.0,57.0,United States,USA,Athletics,Athletics Women's Long Jump,2nd
"James Paul ""Jim"" Montgomery",M,21,191.0,88.0,United States,USA,Swimming,Swimming Men's 100 metres Freestyle,1st
"James Paul ""Jim"" Montgomery",M,21,191.0,88.0,United States,USA,Swimming,Swimming Men's 200 metres Freestyle,3rd
"Charles Michael ""Charlie"" Mooney",M,25,165.0,54.0,United States,USA,Boxing,Boxing Men's Bantamweight,2nd
Edwin Corley Moses,M,20,186.0,72.0,United States,USA,Athletics,Athletics Men's 400 metres Hurdles,1st
Margaret Murdock (Thompson-),F,33,163.0,73.0,United States,USA,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",2nd
John Phillips Naber,M,20,198.0,88.0,United States,USA,Swimming,Swimming Men's 200 metres Freestyle,2nd
John Phillips Naber,M,20,198.0,88.0,United States,USA,Swimming,Swimming Men's 100 metres Backstroke,1st
John Phillips Naber,M,20,198.0,88.0,United States,USA,Swimming,Swimming Men's 200 metres Backstroke,1st
"Frederick Vaughn ""Fred"" Newhouse",M,27,175.0,68.0,United States,USA,Athletics,Athletics Men's 400 metres,2nd
Darrell Owen Pace,M,19,180.0,64.0,United States,USA,Archery,Archery Men's Individual,1st
